SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S1095;Atacama nivea;Brassicaceae;Brassicoideae;Unplaced;Unplaced;Atacama;nivea;BrassiWood/Kasper Hendriks;77147104-1;11000999;SOUTHERN AMERICA;N. Chile;subshrub;subalpine or subarctic;W;NA;NA;NA;Y
S1096;Mostacillastrum pectinifolium;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Mostacillastrum;pectinifolium;BrassiWood/Kasper Hendriks;77086134-1;3041210;SOUTHERN AMERICA;Peru to N. Chile;perennial;montane tropical;H;NA;NA;NA;NA
S1097;Ivania cremnophila;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Ivania;cremnophila;BrassiWood/Kasper Hendriks;130772-2;5374714;SOUTHERN AMERICA;Chile (Atacama);perennial;desert or dry shrubland;H;NA;NA;NA;Y
S1098;Neuontobotrys linearifolia;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Neuontobotrys;linearifolia;BrassiWood/Kasper Hendriks;60436425-2;3046731;SOUTHERN AMERICA;N. Chile;perennial;desert or dry shrubland;W;NA;NA;NA;Y
S1100;Aethionema maraschicum;Brassicaceae;Aethionemoideae;NA;Aethionemeae;Aethionema;maraschicum;BrassiWood/Kasper Hendriks;935534-1;3051163;ASIA-TEMPERATE;SC. Türkiye (Maras);subshrub;temperate;W;NA;NA;NA;NA
S1102;Cremolobus suffruticosus;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;suffruticosus;BrassiWood/Kasper Hendriks;281706-1;3041486;SOUTHERN AMERICA;Peru;subshrub;subtropical;W;NA;NA;NA;NA
S1103;Plagioloba crenulata;Brassicaceae;Brassicoideae;Brassicodae (II);Plagiolobeae;Plagioloba;crenulata;BrassiWood/Kasper Hendriks;NA;3690132;NA;NA;NA;NA;H;NA;NA;NA;Y
S1106;Phlebolobium maclovianum;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Phlebolobium;maclovianum;BrassiWood/Kasper Hendriks;193311-2;3050493;ANTARCTICA;Falkland Is.;subshrub;temperate;H;NA;NA;NA;Y
S1107;Heliophila brachycarpa;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;brachycarpa;BrassiWood/Kasper Hendriks;284600-1;5374493;AFRICA;Cape Prov.;scrambling shrub or tree;subtropical;W;NA;NA;NA;NA
S1110;Aurinia gionae;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Aurinia;gionae;BrassiWood/Kasper Hendriks;912137-1;5377777;EUROPE;NW. & C. Greece;subshrub;temperate;H;NA;NA;NA;NA
