order;level;code;WGSRPD_name;;
668;L4;BZL-RJ;Rio de Janeiro;;
669;L4;BZL-SP;Sao Paulo;;
670;L4;BZL-TR;Trindade;;
671;L3;BZN;Brazil North;;
672;L4;BZN-AC;Acre;;
673;L4;BZN-AM;Amazonas;;
674;L4;BZN-AP;Amapa;;
675;L4;BZN-PA;Para;;
676;L4;BZN-RM;Roraima;;
677;L4;BZN-RO;Rondonia;;
678;L4;BZN-TO;Tocantins;;
679;L3;BZS;Brazil South;;
680;L4;BZS-PR;Parana;;
681;L4;BZS-RS;Rio Grande do Sul;;
682;L4;BZS-SC;Santa Catarina;;
683;L2;85;Southern South America;;
684;L3;AGE;Argentina Northeast;;
685;L4;AGE-BA;Buenos Aires;;
686;L4;AGE-CD;Cordoba;;
687;L4;AGE-CH;Chaco;;
688;L4;AGE-CN;Corrientes;;
689;L4;AGE-DF;Argentina Distrito Federal;;
690;L4;AGE-ER;Entre Rios;;
691;L4;AGE-FO;Formosa;;
692;L4;AGE-LP;La Pampa;;
693;L4;AGE-MI;Misiones;;
694;L4;AGE-SF;Santa Fe;;
695;L3;AGS;Argentina South;;
696;L4;AGS-CB;Chubut;;
697;L4;AGS-NE;Neuquen;;
698;L4;AGS-RN;Rio Negro;;
699;L4;AGS-SC;Santa Cruz;;
700;L4;AGS-TF;Tierra del Fuego (Argentina);;
701;L3;AGW;Argentina Northwest;;
702;L4;AGW-CA;Catamarca;;
703;L4;AGW-JU;Jujuy;;
704;L4;AGW-LR;La Rioja;;
705;L4;AGW-ME;Mendoza;;
706;L4;AGW-SA;Salta;;
707;L4;AGW-SE;Santiago del Estero;;
708;L4;AGW-SJ;San Juan;;
709;L4;AGW-SL;San Luis;;
710;L4;AGW-TU;Tucuman;;
711;L3;CLC;Chile Central;;
712;L4;CLC-BI;Biobio;;
713;L4;CLC-CO;Coquimbo;;
714;L4;CLC-LA;La Araucania;;
715;L4;CLC-MA;Maule;;
716;L4;CLC-OH;O'Higgins;;
717;L4;CLC-SA;Santiago;;
718;L4;CLC-VA;Valparaiso;;
719;L3;CLN;Chile North;;
720;L4;CLN-AN;Antofagasta;;
721;L4;CLN-AT;Atacama;;
722;L4;CLN-TA;Tarapaca;;
723;L3;CLS;Chile South;;
724;L4;CLS-AI;Aisen;;
725;L4;CLS-LL;Los Lagos;;
726;L4;CLS-MG;Magellanes;;
727;L3;DSV;Desventurados Is.;;
728;L3;JNF;Juan Fernández Is.;;
729;L3;PAR;Paraguay;;
730;L3;URU;Uruguay;;
731;L1;9;Antarctic;;
732;L2;90;Subantarctic Islands;;
733;L3;ASP;Amsterdam-St.Paul Is.;;
734;L3;BOU;Bouvet I.;;
735;L3;CRZ;Crozet Is.;;
736;L3;FAL;Falkland Is.;;
737;L3;HMD;Heard-McDonald Is.;;
738;L3;KEG;Kerguelen;;
739;L3;MAQ;Macquarie Is.;;
740;L3;MPE;Marion-Prince Edward Is.;;
741;L3;SGE;South Georgia;;
