SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
SRR8528399;Ricotia cretica;Boiss. & Heldr.;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;cretica;BrassiToL/Luke Nikolov;288591-1;3040558;515534;EUROPE;Kriti;1;NA;NA;13;NA;NA;KRI;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR8528399
S1232;Synstemon petrovii;Botsch.;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Synstemon;petrovii;BrassiWood/Kasper Hendriks;290264-1;3040802;1432100;ASIA-TEMPERATE;N. China;3;NA;NA;36;NA;NA;CHI, CHN;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519627
S1239;Sisymbriopsis schugnana;Botsch. & Tzvelev;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Sisymbriopsis;schugnana;BrassiWood/Kasper Hendriks;289122-1;3047157;1451501;ASIA-TEMPERATE;C. Asia to Xinjiang;3;NA;NA;32, 36;NA;NA;CHX, TZK;NA;NA;biennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519622
S1246;Parrya darvazica;Botsch. & Vved.;Brassicaceae;Brassicoideae;Hesperodae (III);Chorisporeae;Parrya;darvazica;BrassiWood/Kasper Hendriks;287964-1;3053843;902798;ASIA-TEMPERATE;C. Asia (Pamir Mts.);3;NA;NA;32;NA;NA;TZK;NA;NA;NA;subalpine or subarctic;W;NA;NA;NA;NA;SRR22519397
S0521;Stanleya pinnata;Britton;Brassicaceae;Brassicoideae;Brassicodae (II);Thelypodieae;Stanleya;pinnata;BrassiWood/Kasper Hendriks;298794-2;5373733;58087;NORTHERN AMERICA;W. & C. U.S.A. to N. Mexico;7;NA;NA;73, 74, 76, 77, 79;NA;NA;ARI, CAL, COL, IDA, KAN, MNT, MXE, MXN, NDA, NEV, NWM, ORE, SDA, TEX, UTA, WYO;NA;NA;perennial, subshrub or shrub;temperate;W;NA;NA;NA;NA;SRR22519466
S0156;Cithareloma lehmannii;Bunge;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Cithareloma;lehmannii;BrassiWood/Kasper Hendriks;281291-1;3045618;902483;ASIA-TEMPERATE;C. Asia to W. Pakistan;3, 4;NA;NA;32, 34, 40;NA;NA;AFG, IRN, KAZ, PAK, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519574
S0327;Lachnoloma lehmannii;Bunge;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Lachnoloma;lehmannii;BrassiWood/Kasper Hendriks;285968-1;3047248;903291;ASIA-TEMPERATE;NE. Iran to Xinjiang;3;NA;NA;32, 34, 36;NA;NA;CHX, IRN, KAZ, KGZ, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519582
S0421;Streptoloma desertorum;Bunge;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Streptoloma;desertorum;BrassiWood/Kasper Hendriks;290198-1;3041458;933497;ASIA-TEMPERATE;NE. Iran to C. Asia and W. Afghanistan;3;NA;NA;32, 34;NA;NA;AFG, IRN, KAZ, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519359
S0629;Chartoloma platycarpum;Bunge;Brassicaceae;Brassicoideae;Brassicodae (II);Isatideae;Chartoloma;platycarpum;BrassiWood/Kasper Hendriks;280881-1;3042488;897503;ASIA-TEMPERATE;C. Asia;3;NA;NA;32;NA;NA;TKM, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519565
S0645;Tetracme quadricornis;Bunge;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Tetracme;quadricornis;BrassiWood/Kasper Hendriks;290334-1;5377813;515383;ASIA-TEMPERATE;N. Iran to Mongolia;3;NA;NA;32, 34, 36, 37;NA;NA;AFG, CHX, IRN, KAZ, KGZ, MON, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519562
S0720;Pachyneurum grandiflorum;Bunge;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Pachyneurum;grandiflorum;BrassiWood/Kasper Hendriks;287902-1;5373338;1051017;ASIA-TEMPERATE;S. Siberia to Mongolia and Xinjiang;3;NA;NA;30, 36, 37;NA;NA;ALT, BRY, CHX, CTA, MON, TVA;NA;NA;perennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519442
SRR8528372;Conringia orientalis;C. Presl;Brassicaceae;Brassicoideae;Brassicodae (II);Conringieae;Conringia;orientalis;BrassiToL/Luke Nikolov;60455373-2;3040913;76429;EUROPE;C. Europe, C. Medit. to W. Pakistan;1, 2, 3, 4;1, 3, 5, 7, 8;NA;11, 13, 14, 20, 32, 33, 34, 40;11, 12, 13, 14, 30, 31, 38, 50, 70, 71, 72, 73, 74, 75, 76, 77, 78, 81;NA;AFG, ALB, ALG, AUT, BUL, CYP, CZE, EAI, EGY, GER, GRC, HUN, IRN, IRQ, ITA, KAZ, KGZ, KRY, LBS, LBY, MOR, NCS, PAK, PAL, POL, ROM, RUC, RUE, RUS, TCS, TKM, TUE, TUN, TUR, TZK, UKR, UZB, YUG;ABT, ALA, ARI, ARK, ASK, BAH, BAL, BLR, BLT, BRC, CAL, CNT, COL, CTA, DEL, FLA, FRA, GEO, IDA, ILL, INI, IOW, JAP, KAN, KTY, LOU, MAI, MAN, MAS, MIC, MIN, MNT, MRY, MSI, MSO, NBR, NCA, NDA, NEB, NET, NEV, NFL, NSC, NSW, NWH, NWJ, NWM, NWY, OHI, OKL, ONT, ORE, PEI, PEN, PRM, QLD, QUE, RHO, RUN, RUW, SAS, SCA, SDA, SIC, SOA, SPA, SWI, TEN, TEX, UTA, VER, VIC, VRG, WAS, WDC, WIS, WSB, WVA, WYO;NA;annual;temperate;H;NA;NA;witte steenraket;NA;SRR8528372
S0739;Odontarrhena obovata;C.A. Mey.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Odontarrhena;obovata;BrassiWood/Kasper Hendriks;287846-1;3044773;987335;EUROPE;E. Europe to N. China;1, 3;NA;NA;14, 30, 31, 32, 34, 36, 37;NA;NA;ALT, AMU, BRY, CHI, CHM, CHX, CTA, IRK, KAZ, KHA, KRA, LBS, MAG, MON, RUE, RUN, TVA, WSB, YAK;NA;NA;subshrub;temperate;H;NA;american alyssum, american madwort;NA;NA;SRR22519428
S0417;Christolea crassifolia;Cambess.;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Christolea;crassifolia;BrassiWood/Kasper Hendriks;281258-1;3044549;601840;ASIA-TEMPERATE;Afghanistan to W. China and C. Nepal;3, 4;NA;NA;32, 34, 36, 40;NA;NA;AFG, CHQ, CHT, CHX, NEP, PAK, TZK, WHM;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519362
S0954;Douepea tortuosa;Cambess.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Douepea;tortuosa;BrassiWood/Kasper Hendriks;282302-1;3043821;898018;ASIA-TROPICAL;W. Pakistan;4;NA;NA;40;NA;NA;PAK;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519539
S1408;Eruca vesicaria;Cav.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Eruca;vesicaria;BrassiWood/Kasper Hendriks;1137625-2;5375920;77058;EUROPE;Medit. to China and Arabian Pen.;1, 2, 3, 4;1, 2, 3, 4, 5, 7, 8;NA;12, 13, 14, 20, 32, 34, 35, 36, 37, 40;10, 11, 12, 13, 14, 21, 22, 24, 26, 27, 30, 31, 33, 38, 40, 50, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 83, 85;NA;AFG, ALG, BAL, CHC, CHI, CHM, CHN, CHQ, CHS, CHX, COR, CYP, EAI, EGY, GRC, GST, IRN, IRQ, ITA, KAZ, KGZ, KRI, KRY, KUW, LBS, LBY, MON, MOR, OMA, PAK, PAL, POR, SAR, SAU, SIC, SIN, SPA, TKM, TUE, TUN, TUR, TZK, UZB, WSA, YEM;ABT, AGE, AGS, AGW, ALB, ASS, AUT, BAN, BGM, BLR, BLT, BOL, BRC, BRY, BUL, CAL, CHA, CLC, CLM, CNT, CNY, COL, COS, CZE, ECU, ELS, ERI, ETH, FRA, GER, GRB, HUN, ILL, IND, IOW, JAP, KAN, MAN, MDR, MIC, MNT, MRY, MSO, MTN, MXC, MXE, MXN, MXS, NCS, NDA, NEB, NEV, NOR, NSW, NWJ, NWM, NWY, OFS, ONT, ORE, PAR, PEN, POL, PRM, QUE, ROM, RUC, RUE, RUW, SAS, SDA, SOA, SOM, SUD, SWI, TCS, TEX, TVL, UKR, UTA, VER, VIC, WAS, WAU, WHM, WSB, WVA, YUG, ZIM;NA;annual;subtropical;H;crop;edible rocket, garden rocket, rocket-salad, salad rocket;zwaardherik;NA;SRR22519485
S1419;Alliaria petiolata;Cavara & Grande;Brassicaceae;Brassicoideae;Brassicodae (II);Thlaspideae;Alliaria;petiolata;BrassiWood/Kasper Hendriks;1176324-2;5376075;56061;EUROPE;Europe to C. Asia and N. Myanmar, NW. Africa;1, 2, 3, 4;3, 5, 7, 8;NA;10, 11, 12, 13, 14, 20, 32, 33, 34, 36, 40, 41;31, 38, 51, 71, 72, 73, 74, 75, 76, 78, 85;NA;AFG, ALB, ALG, AUT, BGM, BLR, BLT, BUL, CHT, CHX, COR, CYP, CZE, DEN, EAI, FIN, FRA, GER, GRB, GRC, HUN, IRE, IRN, IRQ, ITA, KAZ, KGZ, KRY, LBS, MOR, MYA, NCS, NEP, NET, NOR, PAK, PAL, POL, POR, ROM, RUC, RUE, RUN, RUS, RUW, SIC, SPA, SWE, SWI, TCS, TKM, TUE, TUN, TUR, TZK, UKR, UZB, WHM, YUG;AGS, ALA, BRC, CNT, COL, DEL, IDA, ILL, INI, IOW, KAN, KOR, KTY, MAI, MAS, MIC, MIN, MNT, MRY, MSO, NCA, NEB, NFL, NWH, NWJ, NWY, NZS, OHI, OKL, ONT, ORE, PEN, PRM, RHO, SDA, TEN, UTA, VER, VRG, WAS, WDC, WIS, WVA, WYO;NA;annual or biennial;temperate;H;NA;garlic mustard, garlic mustard, hedge garlic, hedge garlic, hedge-garlic, jack-by-the-hedge;look-zonder-look;NA;SRR22519480
S0323;Guiraoa arvensis;Coss.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Guiraoa;arvensis;BrassiWood/Kasper Hendriks;284545-1;3044695;514210;EUROPE;E. & SE. Spain;1;NA;NA;12;NA;NA;SPA;NA;NA;annual;subtropical;H;NA;NA;herik;NA;SRR22519584
S0660;Ceratocnemum rapistroides;Coss. & Balansa;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Ceratocnemum;rapistroides;BrassiWood/Kasper Hendriks;280868-1;3041950;1186674;AFRICA;Morocco;2;NA;NA;20;NA;NA;MOR;NA;NA;NA;subtropical;H;NA;NA;NA;NA;SRR22519556
S1442;Henophyton deserti;Coss. & Durieu;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Henophyton;deserti;BrassiWood/Kasper Hendriks;284821-1;3047663;1352810;AFRICA;N. Sahara;2;NA;NA;20;NA;NA;ALG, LBY, TUN;NA;NA;NA;desert or dry shrubland;W;NA;NA;NA;NA;SRR22519475
S1204;Camelina sativa;Crantz;Brassicaceae;Brassicoideae;Camelinodae (I);Camelineae;Camelina;sativa;BrassiWood/Kasper Hendriks;279870-1;9073641;159732;EUROPE;SE. & E. Europe to Russian Far East;1, 3, 4;1, 2, 3, 5, 7, 8;NA;11, 13, 14, 30, 31, 32, 33, 34, 36, 37, 40;10, 11, 12, 13, 14, 20, 32, 38, 50, 70, 71, 72, 73, 74, 75, 77, 78, 84, 85;NA;ALB, ALT, AMU, BRY, BUL, CHI, CHX, CTA, HUN, IRK, ITA, KGZ, KHA, KRA, KRY, LBS, MON, NCS, PRM, ROM, RUC, RUE, RUS, TCS, TKM, TUE, TUR, TVA, TZK, UKR, WHM, WSB, YAK;ABT, AGE, ALG, AUT, BGM, BLR, BLT, BRC, BZS, CNT, COL, CZE, DEN, FIN, FRA, GER, GRB, ILL, INI, IOW, JAP, KAN, KAZ, KOR, KTY, MAI, MAN, MAS, MIN, MNT, MRY, MSI, MSO, NDA, NEB, NET, NOR, NUN, NWH, NWJ, NWM, NWT, NWY, OHI, ONT, ORE, PEN, POL, QUE, RUN, RUW, SCA, SDA, SIC, SOA, SPA, SWE, SWI, TAS, TUN, URU, VER, VIC, VRG, WAU, WDC, WIS, WVA, WYO, YUK;NA;annual or biennial;temperate;H;NA;common false-flax, dutch flax, gold-of-pleasure, large-seed false-flax;huttentut, vlas- en zaadhuttentut;NA;SRR22519640
S1519;Hormathophylla reverchonii;Cullen & T.R. Dudley;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Hormathophylla;reverchonii;BrassiWood/Kasper Hendriks;285371-1;3050678;515548;EUROPE;SE. Spain (Sierra de Carzola area);1;NA;NA;12;NA;NA;SPA;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519596
S0761;Shehbazia tibetica;D.A. German;Brassicaceae;Brassicoideae;Hesperodae (III);Shehbazieae;Shehbazia;tibetica;BrassiWood/Kasper Hendriks;77144612-1;11103722;1446363;ASIA-TEMPERATE;Tibet to China (Gansu);3;NA;NA;36;NA;NA;CHN, CHQ, CHT;NA;NA;biennial;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519333
S0827;Dvorakia alaica;D.A. German;Brassicaceae;Brassicoideae;Hesperodae (III);Anchonieae;Dvorakia;alaica;BrassiWood/Kasper Hendriks;77205300-1;12314543;1432007;ASIA-TEMPERATE;C. Asia;3;NA;NA;32;NA;NA;KGZ, UZB;NA;NA;NA;temperate;H;NA;NA;NA;NA;SRR22519666
S1103;Plagioloba crenulata;D.A. German;Brassicaceae;Brassicoideae;Brassicodae (II);Plagiolobeae;Plagioloba;crenulata;BrassiWood/Kasper Hendriks;NA;3690132;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;H;NA;NA;NA;NA;SRR22519401
S1509;Mutarda arvensis;D.A. German;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Mutarda;arvensis;BrassiWood/Kasper Hendriks;288569-1;3042984;NA;EUROPE;Temp. Eurasia, N. Africa to Arabian Pen.;1, 2, 3, 4;1, 2, 3, 5, 7, 8, 9;NA;10, 11, 12, 13, 14, 20, 21, 30, 31, 32, 33, 34, 35, 36, 37, 40;10, 14, 24, 26, 27, 30, 38, 50, 70, 71, 72, 73, 74, 75, 76, 77, 78, 81, 82, 83, 84, 85, 90;NA;AFG, ALB, ALG, ALT, AUT, AZO, BAL, BGM, BLR, BLT, BUL, CHI, CHX, COR, CYP, CZE, DEN, EAI, EGY, FRA, GER, GRC, GST, HUN, IRN, IRQ, ITA, KAM, KAZ, KGZ, KHA, KRA, KRI, KRY, KUW, LBY, MAG, MDR, MON, MOR, NCS, NET, NOR, OMA, PAK, PAL, POL, POR, PRM, ROM, RUC, RUE, RUS, RUW, SAR, SAU, SIC, SIN, SPA, SWE, SWI, TCS, TKM, TUE, TUN, TUR, TZK, UKR, UZB, WSB, YUG;ABT, AGE, AGS, ALA, ARI, ARK, ASK, BAH, BER, BRC, BRY, BZC, BZL, BZS, CAL, CNT, COL, CPP, CRZ, CTA, CUB, DEL, DOM, FIN, FLA, FOR, GAL, GEO, GNL, GRB, GUY, HAI, ICE, IDA, ILL, INI, IOW, IRE, IRK, KAN, KEG, KOR, KTY, LAB, LEE, LOU, MAI, MAN, MAS, MIC, MIN, MNT, MRY, MSI, MSO, NAT, NBR, NCA, NDA, NEB, NEV, NFL, NSC, NSW, NWH, NWJ, NWM, NWT, NWY, OFS, OHI, OKL, ONT, ORE, PAR, PEI, PEN, PUE, QLD, QUE, RHO, RUN, SAS, SCA, SDA, SOA, SUD, TAS, TEN, TEX, TVL, UTA, VER, VIC, VRG, WAS, WAU, WDC, WIN, WIS, WVA, WYO, YUK, ZIM;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519597
S0756;Ladakiella klimesii;D.A. German & Al-Shehbaz;Brassicaceae;Brassicoideae;Camelinodae (I);Crucihimalayeae;Ladakiella;klimesii;BrassiWood/Kasper Hendriks;77109897-1;8011502;1245417;ASIA-TEMPERATE;W. Himalaya to Tibet;3, 4;NA;NA;36, 40;NA;NA;CHT, WHM;NA;NA;NA;subalpine or subarctic;H;NA;NA;NA;NA;SRR22519338
S0795;Dendroarabis fruticulosa;D.A. German & Al-Shehbaz;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Dendroarabis;fruticulosa;BrassiWood/Kasper Hendriks;60450243-2;3688387;NA;ASIA-TEMPERATE;C. Asia to S. Siberia and N. Pakistan;3, 4;NA;NA;30, 32, 34, 36, 37, 40;NA;NA;AFG, ALT, BRY, CHX, IRK, KAZ, KGZ, MON, PAK, TZK;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519668
S1201;Schrenkiella parvula;D.A. German & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Schrenkielleae;Schrenkiella;parvula;BrassiWood/Kasper Hendriks;77109906-1;7959676;918813;EUROPE;SE. European Russia to C. Türkiye and Xinjiang;1, 3;NA;NA;14, 32, 33, 34, 36;NA;NA;CHX, KAZ, RUS, TCS, TKM, TUR, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519641
S1238;Leiocarpaea cochlearioides;D.A. German & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Calepineae;Leiocarpaea;cochlearioides;BrassiWood/Kasper Hendriks;77109903-1;8374383;NA;EUROPE;SE. European Russia to N. China;1, 3;NA;NA;14, 30, 32, 36, 37;NA;NA;BRY, CHM, CHN, CTA, KAZ, MON, RUE, RUS;NA;NA;annual or biennial;temperate;H;NA;NA;NA;NA;SRR22519623
SRR8528398;Sisymbrium leucocladum;D.A. German & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;leucocladum;BrassiToL/Luke Nikolov;77176542-1;11016857;NA;ASIA-TEMPERATE;Iran;3;NA;NA;34;NA;NA;IRN;NA;NA;perennial;subtropical;H;NA;NA;NA;NA;SRR8528398
SRR8528361;Sisymbrium aegyptiacum;D.A. German, _erdoner _alasan & Al-Shehbaz;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;aegyptiacum;BrassiToL/Luke Nikolov;289134-1;3689728;NA;AFRICA;N. Africa to N. Somalia and SW. Pakistan;2, 3, 4;NA;NA;20, 24, 34, 35, 40;NA;NA;AFG, ALG, DJI, EGY, GST, IRN, IRQ, KUW, LBS, LBY, MOR, OMA, PAK, PAL, SAU, SIN, SOM, TUN, YEM;NA;NA;subshrub;subtropical;H;NA;NA;NA;NA;SRR8528361
S0281;Aubrieta deltoidea;DC.;Brassicaceae;Brassicoideae;Arabodae (IV);Arabideae;Aubrieta;deltoidea;BrassiWood/Kasper Hendriks;1055027-2;3054117;75721;EUROPE;Sicilia, C. Greece to W. Kriti and W. Türkiye;1, 3;1, 7;NA;13, 34;10, 11, 12, 13, 76;NA;EAI, GRC, KRI, SIC, TUR;BGM, BUL, CAL, CZE, FRA, GRB, SPA, SWI;NA;subshrub;temperate;H;ornamental;garden aubrieta, lilacbush;aubrietia;NA;SRR22519437
S0299;Leptaleum filifolium;DC.;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Leptaleum;filifolium;BrassiWood/Kasper Hendriks;286476-1;3041202;933495;EUROPE;European Russia to Xinjiang and Pakistan, Arabian Pen.;1, 2, 3, 4;NA;NA;14, 20, 32, 33, 34, 35, 36, 40;NA;NA;AFG, CHX, EGY, IRN, IRQ, KAZ, KGZ, KUW, LBS, OMA, PAK, PAL, RUE, RUS, SAU, SIN, TCS, TKM, TZK, UZB;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519625
S0345;Sisymbrium burchellii;DC.;Brassicaceae;Brassicoideae;Brassicodae (II);Sisymbrieae;Sisymbrium;burchellii;BrassiWood/Kasper Hendriks;289226-1;3046869;594545;AFRICA;S. Africa;2;NA;NA;27;NA;NA;BOT, CPP, NAM, OFS;NA;NA;perennial;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519578
S0577;Heliophila elongata;DC.;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;elongata;BrassiWood/Kasper Hendriks;284648-1;5374440;587096;AFRICA;Cape Prov. to KwaZulu-Natal;2;NA;NA;27;NA;NA;CPP, NAT;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519458
S0616;Meniocus linifolius;DC.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Meniocus;linifolius;BrassiWood/Kasper Hendriks;287025-1;3045206;1293223;EUROPE;Medit. to SW. Siberia and Xinjiang;1, 2, 3, 4;NA;NA;12, 13, 14, 20, 30, 32, 33, 34, 35, 36, 37, 40;NA;NA;AFG, ALG, ALT, CHX, IRN, IRQ, KAZ, KGZ, KRA, KRY, KUW, LBS, MON, MOR, NCS, PAK, PAL, ROM, RUC, RUE, RUS, SAU, SPA, TCS, TKM, TUE, TUR, TZK, UKR, UZB, YUG;NA;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519450
S0746;Ricotia lunaria;DC.;Brassicaceae;Brassicoideae;Heliophilodae (V);Biscutelleae;Ricotia;lunaria;BrassiWood/Kasper Hendriks;288594-1;3040556;492981;ASIA-TEMPERATE;Lebanon to Sinai;3;NA;NA;34;NA;NA;LBS, PAL, SIN;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519346
S0753;Menonvillea linearis;DC.;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Menonvillea;linearis;BrassiWood/Kasper Hendriks;287058-1;3050960;792475;SOUTHERN AMERICA;C. & S. Chile;8;NA;NA;85;NA;NA;CLC, CLS;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519341
S0757;Goldbachia laevigata;DC.;Brassicaceae;Brassicoideae;Brassicodae (II);Calepineae;Goldbachia;laevigata;BrassiWood/Kasper Hendriks;284506-1;5376058;976723;EUROPE;SE. European Russia to Mongolia and Pakistan;1, 3, 4;3;NA;14, 30, 32, 33, 34, 35, 36, 37, 40;31;NA;AFG, CHX, IRN, IRQ, KAZ, KGZ, LBS, MON, PAK, RUE, RUS, SAU, TCS, TKM, TUR, TZK, UZB, WHM, WSB;PRM;NA;annual;temperate;H;NA;NA;NA;NA;SRR22519337
S0768;Carrichtera annua;DC.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Carrichtera;annua;BrassiWood/Kasper Hendriks;280826-1;5375285;76132;EUROPE;Canary Is., Medit. to Iran and Arabian Pen.;1, 2, 3;1, 3, 5, 7;NA;12, 13, 20, 21, 34, 35;12, 13, 38, 50, 51, 76;NA;ALG, BAL, CNY, CYP, EGY, GRC, IRN, IRQ, KRI, KUW, LBS, LBY, MOR, PAL, POR, SAR, SAU, SIC, SIN, TUN, WSA;CAL, COR, ITA, JAP, NSW, NTA, NZS, QLD, SOA, TAS, VIC, WAU;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519326
S1102;Cremolobus suffruticosus;DC.;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;suffruticosus;BrassiWood/Kasper Hendriks;281706-1;3041486;902788;SOUTHERN AMERICA;Peru;8;NA;NA;83;NA;NA;PER;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519402
S1119;Cremolobus suffruticosus;DC.;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;suffruticosus;BrassiWood/Kasper Hendriks;281706-1;3041486;902788;SOUTHERN AMERICA;Peru;8;NA;NA;83;NA;NA;PER;NA;NA;subshrub;subtropical;W;NA;NA;NA;NA;SRR22519513
S1128;Eunomia oppositifolia;DC.;Brassicaceae;Brassicoideae;Brassicodae (II);Coluteocarpeae;Eunomia;oppositifolia;BrassiWood/Kasper Hendriks;284322-1;5375579;NA;ASIA-TEMPERATE;Lebanon;3;NA;NA;34;NA;NA;LBS;NA;NA;subshrub;temperate;H;NA;NA;NA;Endangered;SRR22519509
S1314;Moricandia arvensis;DC.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Moricandia;arvensis;BrassiWood/Kasper Hendriks;1085378-2;5376035;165527;EUROPE;Canary Is., Medit. to Sahara;1, 2;1;NA;12, 13, 20, 21, 22, 24;12;NA;ALG, BAL, CHA, CNY, GRC, ITA, LBY, MOR, MTN, POR, SIC, SPA, TUN;COR, FRA, SAR;NA;biennial or perennial;temperate;W;NA;NA;NA;NA;SRR22519380
S1315;Berteroa incana;DC.;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Berteroa;incana;BrassiWood/Kasper Hendriks;278924-1;3053522;75762;EUROPE;C. Europe to N. China;1, 3;1, 3, 7;NA;10, 11, 12, 13, 14, 30, 32, 33, 36, 37;10, 11, 12, 14, 31, 71, 72, 73, 74, 75, 76, 77, 78;NA;ALB, ALT, AUT, BLR, BLT, BRY, BUL, CHI, CHM, CHN, CHX, CZE, DEN, FRA, GER, GRC, HUN, IRK, ITA, KAZ, KGZ, KRA, KRY, MON, NCS, POL, ROM, RUC, RUE, RUS, RUW, SWI, TCS, TUE, TVA, TZK, UKR, UZB, WSB, YAK, YUG;AMU, ARI, BGM, BRC, CAL, CNT, COL, FIN, GRB, IDA, ILL, INI, IOW, KAM, KAN, KHA, KTY, MAG, MAI, MAN, MAS, MIC, MIN, MNT, MRY, MSI, MSO, NBR, NDA, NEB, NET, NEV, NOR, NWH, NWJ, NWM, NWY, OHI, ONT, ORE, PEN, PRM, QUE, RHO, RUN, SAK, SAS, SDA, SPA, SWE, UTA, VER, VRG, WAS, WDC, WIS, WVA, WYO;NA;annual or perennial;temperate;H;NA;hoary alyssum, hoary false madwort, hoary false-alyssum;grijskruid;NA;SRR22519379
SRR8528364;Cremolobus peruvianus;DC.;Brassicaceae;Brassicoideae;Heliophilodae (V);Cremolobeae;Cremolobus;peruvianus;BrassiToL/Luke Nikolov;281699-1;3041482;902783;SOUTHERN AMERICA;W. South America;8;NA;NA;83;NA;NA;CLM, ECU, PER;NA;NA;perennial;subtropical;W;NA;NA;NA;NA;SRR8528364
