SAMPLE;SPECIES_NAME_PRINT;AUTHOR;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_id;gbif_usageKey;iNaturalist_id;WCVP_continent;WCVP_geographic_area;WCVP_WGSRPD_LEVEL_1_native;WCVP_WGSRPD_LEVEL_1_introduced;WCVP_WGSRPD_LEVEL_1_extinct;WCVP_WGSRPD_LEVEL_2_native;WCVP_WGSRPD_LEVEL_2_introduced;WCVP_WGSRPD_LEVEL_2_extinct;WCVP_WGSRPD_LEVEL_3_native;WCVP_WGSRPD_LEVEL_3_introduced;WCVP_WGSRPD_LEVEL_3_extinct;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;IUCN_redlistCategory;NCBI_SRA_id
S1111;Cuprella homalocarpa;Salmer�n-S�nchez, Mota & Fuertes;Brassicaceae;Brassicoideae;Arabodae (IV);Alysseae;Cuprella;homalocarpa;BrassiWood/Kasper Hendriks;77151974-1;10953266;1142023;AFRICA;Egypt to SW. Pakistan;2, 3, 4;NA;NA;20, 34, 35, 40;NA;NA;EGY, IRN, IRQ, KUW, PAK, PAL, SAU, SIN;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR22519519
S0688;Megacarpaea megalocarpa;Schischk. ex B. Fedtsch.;Brassicaceae;Brassicoideae;Heliophilodae (V);Megacarpaeeae;Megacarpaea;megalocarpa;BrassiWood/Kasper Hendriks;287006-1;3051440;450161;EUROPE;European Russia to Qinghai;1, 3;NA;NA;14, 32, 36;NA;NA;CHQ, CHX, KAZ, KGZ, RUE, RUS, UZB;NA;NA;perennial;temperate;H;NA;NA;NA;NA;SRR22519546
S1069;Heliophila macra;Schltr.;Brassicaceae;Brassicoideae;Heliophilodae (V);Heliophileae;Heliophila;macra;BrassiWood/Kasper Hendriks;284703-1;5374385;587112;AFRICA;SW. Cape Prov.;2;NA;NA;27;NA;NA;CPP;NA;NA;NA;subtropical;W;NA;NA;NA;NA;SRR22519415
S0669;Schouwia purpurea;Schweinf.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Schouwia;purpurea;BrassiWood/Kasper Hendriks;288873-1;5375907;473786;AFRICA;Sahara to Jordan and Arabian Pen.;2, 3;NA;NA;20, 22, 24, 34, 35;NA;NA;ALG, BKN, CHA, DJI, EGY, ETH, LBY, MLI, MOR, MTN, NGR, PAL, SAU, SIN, SOM, SUD, WSA, YEM;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519550
S0743;Cakile maritima;Scop.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Cakile;maritima;BrassiWood/Kasper Hendriks;30179231-2;3048831;60982;EUROPE;Macaronesia, European and Medit. coasts;1, 2, 3;1, 5, 6, 7, 8;NA;10, 11, 12, 13, 14, 20, 21, 33, 34;11, 14, 50, 51, 60, 71, 73, 75, 76, 78, 79, 85;NA;ALB, ALG, BAL, BGM, BLT, BUL, CNY, COR, CVI, CYP, DEN, EAI, EGY, FIN, FRA, GER, GRB, GRC, IRE, IRN, ITA, KRI, KRY, LBS, LBY, MDR, MOR, NCS, NET, NOR, PAL, POL, POR, ROM, RUS, RUW, SAR, SEL, SIC, SIN, SPA, SWE, TCS, TUE, TUN, TUR, UKR, WSA, YUG;AGE, BRC, CAL, CZE, KER, MRY, MXN, NSW, NWC, NWY, NZN, ORE, RUC, SOA, TAS, URU, VIC, WAS, WAU;NA;perennial or subshrub;temperate;H;NA;european sea rocket;zeeraket;NA;SRR22519349
S0464;Fortuynia garcinii;Shuttlew. ex Boiss.;Brassicaceae;Brassicoideae;Brassicodae (II);Brassiceae;Fortuynia;garcinii;BrassiWood/Kasper Hendriks;284477-1;5376240;898024;ASIA-TEMPERATE;Iran to Pakistan;3, 4;NA;NA;34, 40;NA;NA;AFG, IRN, PAK;NA;NA;subshrub;desert or dry shrubland;W;NA;NA;NA;NA;SRR22519471
SRR8528397;Schizopetalon walkeri;Sims;Brassicaceae;Brassicoideae;Heliophilodae (V);Schizopetaleae;Schizopetalon;walkeri;BrassiToL/Luke Nikolov;30235735-2;3050337;974820;SOUTHERN AMERICA;NC. Chile;8;NA;NA;85;NA;NA;CLC;NA;NA;annual;subtropical;H;NA;NA;NA;NA;SRR8528397
S1488;Xerodraba lycopodioides;Skottsb.;Brassicaceae;Brassicoideae;Heliophilodae (V);Eudemeae;Xerodraba;lycopodioides;BrassiWood/Kasper Hendriks;269507-2;3047220;792433;SOUTHERN AMERICA;S. Chile to Argentina (Santa Cruz);8;NA;NA;85;NA;NA;AGS, CLS;NA;NA;subshrub;temperate;W;NA;NA;NA;NA;SRR22519601
S0278;Catenulina hedysaroides;Soj�k;Brassicaceae;Brassicoideae;Hesperodae (III);Euclidieae;Catenulina;hedysaroides;BrassiWood/Kasper Hendriks;280838-1;3046619;903317;ASIA-TEMPERATE;C. Asia;3;NA;NA;32;NA;NA;TZK;NA;NA;NA;temperate;H;NA;NA;NA;NA;SRR22519566
S1182;Eigia longistyla;Soj�k;Brassicaceae;Brassicoideae;Heliophilodae (V);Anastaticeae;Eigia;longistyla;BrassiWood/Kasper Hendriks;283227-1;3048799;902488;ASIA-TEMPERATE;Israel to Arabian Pen.;3;NA;NA;34, 35;NA;NA;PAL, SAU;NA;NA;annual;desert or dry shrubland;H;NA;NA;NA;NA;SRR22519499
